wavelength,p10,p90
2024,0.679175,0.972389
2026,0.676914,0.969271
2028,0.674379,0.965852
2030,0.671181337797375,0.961675
2032,0.667051268720467,0.95666
2034,0.661867069315855,0.95131
2036,0.654985,0.945262
2038,0.646706983873873,0.939113
2040,0.637497,0.933158
2042,0.627271325528125,0.927812
2044,0.617427,0.923405
2046,0.607804,0.919406
2048,0.599212,0.915895
2049,0.592652,0.91292
2051,0.585631,0.910343
2053,0.579194,0.90798
2055,0.573575,0.905823
2057,0.568416,0.903829
2059,0.563805,0.902034
2061,0.559742030900474,0.90037
2063,0.555942273769765,0.898733
2065,0.55239194016379,0.897346
2067,0.549134265681642,0.896003
2069,0.546053,0.894574
2071,0.54311659779694,0.893282
2073,0.540478,0.892123778106698
2075,0.538101189651746,0.891
2076,0.536192,0.889933
2078,0.534014280365582,0.888893
2080,0.531726623190551,0.887856
2082,0.529724,0.886895
2084,0.527733,0.885928
2086,0.525779631289698,0.88499
2088,0.523866,0.884132
2090,0.522087,0.883368
2092,0.520241,0.882597
2094,0.518551467843529,0.881826
2096,0.516875,0.881101
2098,0.5152501475075,0.88043
2100,0.513690912267843,0.879758
2102,0.512089,0.879001
2103,0.510842654772101,0.878302
2105,0.509342014937137,0.877666
2107,0.508141,0.877112
2109,0.507030103160576,0.876556
2111,0.506085511493377,0.87601
2113,0.505424,0.875462
2115,0.504982,0.874996
2117,0.504803,0.874568
2119,0.504859530258912,0.874156
2121,0.505316768734466,0.873827
2123,0.506141,0.873544
2125,0.507343797289631,0.873318
2127,0.509039112094169,0.873222
2129,0.511039,0.873122003124592
2130,0.512776409272545,0.872985415002069
2132,0.5142183246682,0.87267
2134,0.514717,0.872186
2136,0.513970829907208,0.871489
2138,0.512158465546572,0.870636
2140,0.509521,0.869535
2142,0.506348202374616,0.868373
2144,0.503096,0.867135
2146,0.499926,0.865951
2148,0.49687,0.86474
2150,0.493862137592624,0.863491
2152,0.49097,0.86226
2154,0.487968910987481,0.860964
2156,0.485065986072679,0.859756
2157,0.482830034047879,0.858406
2159,0.480203854859429,0.85719
2161,0.477729181876811,0.855855
2163,0.475558,0.854535
2165,0.47352,0.853178
2167,0.47164,0.85181
2169,0.469894,0.850577
2171,0.46833,0.849285
2173,0.466840887903643,0.848027
2175,0.465475,0.84673
2177,0.464205,0.845541
2179,0.463020528369939,0.84435
2181,0.46193806707699,0.843137
2183,0.460989,0.84199
2184,0.460216,0.840949
2186,0.459376,0.839897
2188,0.458693382226498,0.838893
2190,0.458091327871829,0.83789
2192,0.457723,0.836952
2194,0.457595716206824,0.836109
2196,0.457640521938651,0.835336
2198,0.457937,0.834592
2200,0.458741,0.83404
2202,0.459763916583369,0.833477
2204,0.460856,0.832953
2206,0.462148,0.832502
2208,0.463681,0.83218
2210,0.465443,0.831892
2211,0.467131,0.831614
2213,0.469506046262667,0.831506
2215,0.472054299865542,0.831445
2217,0.474906513601727,0.831371
2219,0.477253,0.831203
2221,0.479299218130506,0.831092
2223,0.480946,0.830838
2225,0.482058906513983,0.830424
2227,0.482687394989251,0.829983
2229,0.482967,0.82947
2231,0.483278,0.828903
2233,0.483412267170805,0.828369
2235,0.483447,0.827718
2237,0.483118028112008,0.826974
2238,0.482482,0.826199
2240,0.481025,0.825245
2242,0.479041882547905,0.824224
2244,0.476711397727007,0.823062
2246,0.4743105,0.821918
2248,0.472166310138465,0.820779
2250,0.470274,0.819773
2252,0.468641,0.818865
2254,0.467023,0.817946
2256,0.465288,0.817033
2258,0.463530366744988,0.816067
2260,0.461616671328922,0.815153
2262,0.459711235645359,0.814196
2264,0.457815,0.813281
2265,0.456153,0.812383
2267,0.454125,0.811452
2269,0.452111852441968,0.810599
2271,0.449993,0.809781
2273,0.44776,0.808982
2275,0.445505694193567,0.807976
2277,0.443172604019303,0.807168
2279,0.440798,0.806358
2281,0.43848,0.805483
2283,0.4362,0.804529
2285,0.433925540576271,0.803704
2287,0.431691,0.802823
2289,0.429438,0.802073
2291,0.427306000139487,0.80125
2292,0.42566750496255,0.800466
2294,0.423676,0.799663
2296,0.421751,0.798968
2298,0.420045,0.798287
2300,0.41838547634374,0.797542
2302,0.416846,0.796839
2304,0.415349,0.796021
2306,0.413786124202149,0.795156
2308,0.412383858212331,0.794276
2310,0.411068,0.793595
2312,0.409951013273125,0.793068
2314,0.409023,0.79247
2316,0.407845,0.791568
2318,0.406509,0.790439
2319,0.405518,0.78959
2321,0.404224232455236,0.789007
2323,0.403212,0.788632
2325,0.402212183209848,0.788033
2327,0.400963,0.787293
2329,0.399631866368555,0.786898
2331,0.398818704872959,0.787046
2333,0.398726,0.787549
2335,0.399048660233074,0.788504
2337,0.399291,0.789728
2339,0.398561,0.79015
2341,0.396846981232364,0.789209
2343,0.395669722045268,0.788776
2345,0.397151,0.789705
2346,0.398067350970378,0.78974
2348,0.397537470802618,0.787408
2350,0.394437,0.783835
2352,0.388014471657869,0.780429
2354,0.381214,0.777653
2356,0.374556,0.775698
2358,0.369579,0.774598
2360,0.367535088028682,0.774535
2362,0.368672,0.775279
2364,0.371924,0.776667
2366,0.376357,0.778468
2368,0.380651,0.780321
2370,0.384607531,0.782298
2372,0.388149615544714,0.784119
2373,0.39019,0.785663
2375,0.392262,0.786928
2377,0.393887,0.787998
2379,0.394873436293534,0.788742
2381,0.39647,0.789198
2383,0.396618,0.789404
2385,0.396449,0.7896
2387,0.396062,0.789594
2389,0.395479371304547,0.789512
2391,0.394864,0.789463
2393,0.394184730270483,0.789461636660375
2395,0.393545230125278,0.789471
2397,0.392932878349351,0.789551
2399,0.392323482842059,0.789616
2400,0.391932,0.789697
2402,0.391419,0.789725
2404,0.39088,0.789843
2406,0.390384,0.789987
2408,0.389910582071435,0.790174
2410,0.38940204082197,0.790425
2412,0.388958,0.790589
2414,0.388499780058067,0.790745
2416,0.388038529434823,0.790953
2418,0.387586,0.791166
2420,0.387121,0.791358
2422,0.386638,0.791597
2424,0.386155,0.791812
2426,0.385649,0.791994
2427,0.385228,0.792271
2429,0.384771872983134,0.792565
2431,0.384322365899643,0.792957
2433,0.383884127408399,0.793337
2435,0.383457935983027,0.793631
2437,0.382980789749185,0.793935
2439,0.382565,0.794219
2441,0.382155661599855,0.794525
2443,0.381722021327491,0.794838
2445,0.381356,0.795246
2447,0.38094414586174,0.795534
